Name,Price,Release_date,Review_no,Review_type,Tags,Description
STAR OCEAN THE SECOND STORY R,49.99,2023-11-02,2384,Very Positive,"RPG,JRPG,Action RPG,Pixel Graphics,Action,PvE,Story Rich,2D Platformer,2D,Multiple Endings,1990's,Space,Fantasy,Remake,Singleplayer,Retro,Anime,2.5D,Sci-fi,Female Protagonist","In this science fantasy RPG, choose between Claude or Rena, play through their perspectives, and unlock various endings. Recruit allies and defeat foes in fast paced real-time battles."
No Creeps Were Harmed TD,8.19,2024-07-27,348,Very Positive,"Tower Defense,Strategy,Singleplayer,Sci-fi,3D,Online Co-Op,Automation,Action RTS,Dystopian ,Multiplayer,Survival,Aliens,Artificial Intelligence,Action,Real Time Tactics,Colorful,Building,Futuristic,Post-apocalyptic,Tactical","Employ lethal turrets, traps, and gadgets to defend against an onslaught of evolving creeps!  Step into a twisted, hyper 3D, mind bending realm.  Upgrade and adapt your defenses.  Become a master maze crafter.  Collect bizarre artifacts.  Rush creeps for lucrative rewards, and succumb to greed!"
Euro Truck Simulator 2 - Going East!,5.69,2013-09-20,2794,Very Positive,"Simulation,Driving,Open World,Realistic,Multiplayer,Indie,Singleplayer,Free to Play,Adventure,Moddable,Sandbox,Exploration,Relaxing,Action,TrackIR,Economy,First-Person,Controller,Management",
Verdun,1.63,2015-04-28,28273,Very Positive,"Shooter,Co-op,PvP,Massively Multiplayer,World War I,FPS,Action,Historical,First-Person,Strategy,Multiplayer,Wargame,War,Atmospheric,Military,Realistic,Simulation,Gore,Tactical,Team-Based",Merciless trench warfare immerses you and your squad in intense battles of attack and defense. Verdun is the first multiplayer FPS set in an authentic World War One setting offering a rarely seen battlefield experience.
Eiyuden Chronicle: Hundred Heroes,29.99,2024-04-23,2034,Mostly Positive,"RPG,JRPG,2.5D,Turn-Based Combat,Story Rich,Singleplayer,Adventure,Combat,Indie,Strategy,Action-Adventure,Action RPG,Crafting,Anime,Action,Party-Based RPG,Political,Turn-Based,Female Protagonist,Base Building",Eiyuden Chronicle: Hundred Heroes is designed to bring players a modern take on a classic JRPG experience. Get ready to lead 100+ playable characters through a war-torn world only you can save.
Dead by Daylight - Terror Expansion Pack,14.99,2021-06-15,108,Very Positive,"Action,Gore,Horror",There’s more than one way to sacrifice a Survivor. The Terror Expansion Pack gives you access to 11 original characters to explore and unleash.
9 Days,6.99,2024-03-08,1045,Mixed,"Adventure,Action,Open World,Singleplayer,Fantasy,Magic,RPG,Sandbox,Third Person,Atmospheric,Exploration,Action RPG,Multiplayer,Superhero,Destruction,Indie","You have 9 days before the final fight. At your current state, you do not stand a chance! Explore this Open World to gain new skills and abilities for the battle. Choose where you go, what you do carefully. You cannot waste time! You have 9 days."
Total War: WARHAMMER II - The Warden & The Paunch,7.99,2020-05-21,1446,Mixed,"Strategy,Action,Violent,Fantasy,RTS,Elf","The Warden & the Paunch is the latest Lords Pack for Total War: WARHAMMER II. Introducing two rival Legendary Lords from the world of Warhammer Fantasy Battles, each with their own factions, objectives, mechanics, units and playstyle."
Mega Man Battle Network Legacy Collection Vol. 1,39.99,2023-04-14,1026,Very Positive,"RPG,Action,Action RPG,Pixel Graphics,Singleplayer,Deckbuilding,PvP,Retro,Trading,2D,Science,PvE,JRPG,Anime,Classic,CRPG","The renowned Mega Man Battle Network series is back! Vol. 1 contains Mega Man Battle Network 1-3, including both versions of Mega Man Battle Network 3 for a total of four titles, plus additional features like a gallery of illustrations and music! In addition, online play is supported!"
Trailmakers: Motorhead Pack,4.49,2024-08-15,21,Positive,"Indie,Action,Adventure,Racing,Simulation","Tires screeching, black-smoke exhaust, and the smell of burned rubber. The Motorhead Pack is made for car, truck, and motorcycle enthusiasts!"
Hunt: Showdown 1896 - Meridian Turncoat,5.99,2022-03-24,163,Very Positive,"Action,Gore,Violent,Survival,Perma Death,Multiplayer,Survival Horror,Shooter,First-Person,Horror,Team-Based,Combat,Atmospheric,Lore-Rich,FPS,Gun Customization,Hunting,America,Character Customization,Beautiful","This DLC contains one Hunter, two Weapons, and one Consumable:



- The Turncoat (Hunter)

- Ambush (Dolch 96)

- Crossfire (Dolch 96)

- Red Cask (Ammo Box)"
STRANGER OF PARADISE FINAL FANTASY ORIGIN,34.99,2023-04-06,2433,Very Positive,"Action,RPG,Adventure,Action RPG,JRPG,Spectacle fighter,3D,Third Person,Atmospheric,Dark Fantasy,Dark,Fantasy,Multiplayer,Souls-like,PvP,Singleplayer,Online Co-Op,Story Rich,Violent,Hack and Slash","Developed in cooperation between Square Enix and Team NINJA (Koei Tecmo Games), STRANGER OF PARADISE FINAL FANTASY ORIGIN is a hard-core action RPG that takes the FINAL FANTASY series in a new direction. Experience the boldest and most merciless battles in FINAL FANTASY history."
Trepang2 - Bladekisser DLC,5.99,2024-07-25,419,Very Positive,"Action,Indie,Gore,Violent","New side missions, weapons and more. Are you worthy to wield the blade?"
Atelier Ryza: Ever Darkness & the Secret Hideout,49.99,2019-10-29,6696,Very Positive,"Exploration,Collectathon,Crafting,Turn-Based,JRPG,Female Protagonist,RPG,Cute,Turn-Based Combat,Story Rich,Action,Casual,Simulation,Anime,Fantasy,Emotional,Adventure,Singleplayer,Sexual Content,Great Soundtrack","The concept of this title, the latest in the series to depict a new ""Atelier"" world, is ""True-to-life youths that develop together, even if just a little bit""."
FPV Kamikaze Drone,4.0,2023-12-15,4949,Very Positive,"Simulation,Action,War,First-Person,Shooter,Combat,Singleplayer,Early Access,Massively Multiplayer,Flight,Hentai,Psychological Horror","""FPV Drone Kamikaze"" is a fast-paced action game where players control a combat drone from a first-person perspective. The objective is to destroy enemy equipment in war using maneuvers and explosive devices. Speed and strategy will be the keys to victory."
Kingdom Come: Deliverance – From the Ashes,4.99,2018-07-05,1090,Mixed,"RPG,Action,Adventure,Medieval,Open World,Story Rich,Building,Realistic,Singleplayer,Choices Matter,Choose Your Own Adventure,First-Person,Historical",The first DLC for Kingdom Come: Deliverance introduces an entirely new type of adventure! You have an opportunity to participate in building a new village from the ground up and experience first-hand what it was like to create a new settlement.
Commando Collection,2.39,2024-07-26,499,Very Positive,"Action,Shooter,Beat 'em up,Bullet Hell,Arcade,Combat,Military,Tanks,War,Superhero,2D,Shoot 'Em Up,2D Platformer,Pixel Graphics,Cartoony,World War II,1980s,1990's,Retro,Quick-Time Events","Rebooting classic 2D side-scrolling action shooters, this game introduces new enemies and gameplay mechanics. As a WWII Allied soldier, battle across diverse battlefields with advanced, imaginative weapons. Relive childhood memories while facing fresh challenges and epic boss battles!"
Rising Storm 2: Vietnam,24.36,2017-05-30,37959,Very Positive,"FPS,Wargame,Massively Multiplayer,Immersive Sim,Cold War,Military,War,PvP,Horror,Historical,First-Person,Gore,Team-Based,Vehicular Combat,Action,Simulation,Realistic,Tactical,Atmospheric,Multiplayer","Red Orchestra Series' take on Vietnam: 64-player MP matches; 20+ maps; US Army & Marines, PAVN/NVA, NLF/VC; Australians and ARVN forces; 50+ weapons; 4 flyable helicopters; mines, traps and tunnels; Brutal. Authentic. Gritty. Character customization. And napalm in the morning."
Skul: The Hero Slayer - Mythology Pack,2.49,2023-11-16,338,Very Positive,"Indie,Action,Action Roguelike,Pixel Graphics,2D,Roguelite,Roguelike,Singleplayer,Platformer,Difficult,Metroidvania,Side Scroller,Hack and Slash,Adventure,Villain Protagonist,Action-Adventure,Story Rich,Fantasy,Cute,Multiplayer","A mythical skull has descended upon Harmonia!

This is the first DLC of Skul: The Hero Slayer, a story about a special little skeleton, Skul, who fights humans to save the captured demon king."
Batman: Arkham City - Game of the Year Edition,19.99,2012-09-07,44903,Overwhelmingly Positive,"Action,Open World,Stealth,Superhero,Adventure,Third Person,Singleplayer,Beat 'em up,Comic Book,Detective,Story Rich,Atmospheric,Fighting,Action-Adventure,Cinematic,Controller,3D Vision,Metroidvania,Sandbox,Great Soundtrack",Get Batman: Arkham City and all DLC for one low price with the release of the GOTY Edition!
Tribes of Midgard,8.19,2021-07-27,16279,Mostly Positive,"Open World Survival Craft,Online Co-Op,Action RPG,Multiplayer,PvE,Base Building,Vikings,Survival,Roguelite,Co-op,Action,Exploration,Colorful,Mythology,Boss Rush,Procedural Generation,Indie,Singleplayer,Hack and Slash,Spectacle fighter","A vibrant blend of survival and action RPG for 1-10 players! Craft legendary items, grow your home base and embark on an epic journey through procedural realms to face towering creatures hel-bent on unleashing Ragnarök. Valhalla can wait, Einherjar!  "
迷宮校舎 | School Labyrinth,3.99,2024-02-22,522,Very Positive,"Horror,Online Co-Op,Procedural Generation,Multiplayer,Action,Stealth,Co-op,Roguelike,Roguelite,Indie,Controller,3D,Singleplayer",School labyrinth is a 1~4 co-op horror game set in a randomly generated school at night. Cooperate with your friends and try to escape from the school building!
Destiny 2: The Witch Queen,19.99,2022-02-22,2544,Mostly Positive,"Free to Play,FPS,Open World,Looter Shooter,MMORPG,Co-op,Action,Multiplayer,PvE,PvP,Adventure,Shooter,Massively Multiplayer,First-Person,Loot,Sci-fi,Lore-Rich,Space,Atmospheric,Competitive",Delve into Savathûn’s Throne World to uncover the mystery of how she stole the Light.
Zero Hour,8.99,2020-08-12,25059,Very Positive,"Tactical,Shooter,FPS,Realistic,Multiplayer,Action,Military,First-Person,Online Co-Op,PvP,Team-Based,Strategy,Immersive Sim,Simulation,Stealth,Combat,PvE,3D,Violent,Early Access","Zero Hour is a tactical FPS with online team-based game play that takes place in a variety of fictional locations interpreted in Bangladesh with Real-life scale & resource management. It brings a grounded, close quarter combat experience to the game."
"THE KING OF FIGHTERS XV - DLC Team Pass ""Team Pass 2""",4.49,2022-08-08,42,Positive,Action,"[Product Contents]

- KOF XV DLC Characters ""Team AWAKENED OROCHI""

- KOF XV DLC Characters ""Team SAMURAI"" (3 DLC characters to be released in 2022)"
Styx: Shards of Darkness,14.99,2017-03-14,3852,Very Positive,"Action,Stealth,Singleplayer,Adventure,Atmospheric,Multiplayer,Story Rich,Third Person,Co-op,Assassin,Puzzle,Violent,Indie,Gore,Open World,Parkour,RPG,Fantasy,Dark Fantasy,Dark Humor","Styx returns in a new stealth adventure! Explore and master huge open environments, sneak past or assassinate new enemies and bosses, and experiment with the new array of lethal abilities and weapons in our goblin assassin's arsenal."
Call to Arms,6.99,2018-04-27,15765,Very Positive,"Strategy,Military,Action,Multiplayer,RTS,War,Shooter,Tactical,Simulation,First-Person,Real-Time,FPS,Singleplayer,Modern,Realistic,Co-op,Sandbox,Third Person,Indie,Early Access","Call to Arms offers an innovative mix of real-time strategy and 3rd, as well as 1st person controls. Set in the time of modern warfare, the game offers realistically modeled vehicles and heavy weaponry. Command your troops to victory or fight by yourself in the 3rd or 1st person action mode."
Remnant: From the Ashes - Swamps of Corsus,2.47,2020-04-28,620,Mixed,"Action,Adventure,RPG,Violent,Souls-like,Online Co-Op,Difficult,Third-Person Shooter,Singleplayer,Shooter,Post-apocalyptic",Begin your journey across the dangerous and corrupted worlds of Remnant: From the Ashes with a new mode and expanded map content in the Swamps of Corsus DLC.
暖雪 Warm Snow,7.79,2022-01-19,32499,Very Positive,"Action Roguelike,Roguelite,Martial Arts,Action-Adventure,Roguelike,Character Customization,RPG,2D,Top-Down,Story Rich,Multiple Endings,Deckbuilding,Action,Mythology,Dark Fantasy,Sexual Content,Singleplayer,Adventure,Procedural Generation,Indie","'Warm Snow' is a Rogue-like action game with a background set in a dark fantasy world, where the eerie 'Warm Snow' holds sway. 

You will play as the Warrior 'Bi-an' on a crusade against the Five Great Clans, in order to save a world teetering on the brink of destruction."
Aero GPX,8.19,2024-08-06,430,Very Positive,"Racing,Combat Racing,Futuristic,Action,Stylized,Hand-drawn,Arcade,Flight,3D,Colorful,Comic Book,Driving,Old School,Sci-fi,Space,Combat,Controller,Vehicular Combat,4 Player Local,Singleplayer","Aero GPX is an anti-gravity racer focused on high velocity, flight, machine-to-machine combat, and responsive controls that are easy to pick up but difficult to master. Fight for the best position possible with high speeds, risky maneuvers, and visceral attacks!"
Hotline Miami 2: Wrong Number,6.99,2015-03-10,52108,Very Positive,"Great Soundtrack,Gore,Pixel Graphics,Violent,Action,Fast-Paced,Difficult,Retro,Top-Down,1980s,Indie,Singleplayer,Atmospheric,Top-Down Shooter,Blood,2D,Shooter,Level Editor,Arcade,1990's","Hotline Miami 2: Wrong Number is the brutal conclusion to the Hotline Miami saga, set against a backdrop of escalating violence and retribution over spilled blood in the original game."
Company of Heroes,19.99,2006-09-11,10304,Very Positive,"Strategy,World War II,RTS,War,Singleplayer,Multiplayer,Action,Military,Tactical,Violent,Historical,Base Building,Co-op,Classic,Real Time Tactics,Mod,Moddable,Mature,Story Rich,Great Soundtrack","Delivering a visceral WWII gaming experience, Company of Heroes redefines RTS by bringing the sacrifice of heroic soldiers, war-ravaged environments, and dynamic battlefields to life. Please visit the ""Company of Heroes - Legacy Edition"" page for additional user reviews."
Warface: Clutch,0.0,2014-07-01,82423,Mixed,"Free to Play,FPS,Realistic,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Online Co-Op,Tactical,Strategy,Massively Multiplayer,Military,Team-Based,Moddable,Class-Based,Adventure","Warface: Clutch is a contemporary MMO first person shooter with millions of fans around the world. It offers intense PvP modes, compelling PvE missions and raids that you can challenge with five diverse classes and a colossal customizable arsenal."
Unspottable,5.49,2020-10-22,527,Very Positive,"Physics,Cartoon,Competitive,Party Game,Local Multiplayer,4 Player Local,Party,Multiplayer,Strategy,Casual,PvP,Robots,Artificial Intelligence,Action,Arcade,Cartoony,Online Co-Op,3D,Colorful,Stealth","Now Online!  



Unspottable is a competitive party game. 

Blend in the crowd of AI characters, hunt down the other players and use the many different environment specific rules to win the game. 

Walk like a robot and punch like a human!"
Suicide Squad: Kill the Justice League,59.99,2024-02-02,6213,Mixed,"Online Co-Op,Superhero,LGBTQ+,Action,Third-Person Shooter,Looter Shooter,Capitalism,Multiplayer,PvE,Open World,Shooter,Third Person,Villain Protagonist,Violent,Gore,Singleplayer,Casual,Comic Book,Political,Psychological Horror","From the creators of Batman: Arkham, Suicide Squad: Kill the Justice League is a genre-defying third-person action shooter where the ultimate band of misfits must do the impossible: Kill the Justice League."
GigaBash,11.99,2022-08-04,1230,Very Positive,"Superhero,Action,Fighting,Party,4 Player Local,Multiplayer,Casual,Nostalgia,Family Friendly,Destruction,Singleplayer,3D Fighter,Competitive,Combat,Colorful,Controller,Arcade,Retro,Minigames,Beat 'em up","GigaBash is the ultimate Kaiju Fighting Game[/b] for 1-4 players, where you battle as film-inspired Kaijus[/b] and giant Heroes[/b] in fully destructible[/b] cityscapes."
Kingdom Come: Deliverance – Artbook,2.99,2018-02-14,76,Very Positive,"RPG,Action,Adventure,Medieval,Realistic,Historical,Indie","Kingdom Come: Deliverance is a story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore majestic castles, deep forests, thriving villages and countless other realistic settings in medieval Bohemia!"
Chivalry 2 - Special Edition Content,5.49,2022-06-12,270,Mixed,"Action,Gore,Violent,Medieval",Chivalry 2 Special Edition includes exclusive in-game content. Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles.
Astral Ascent - Yamat the Breach Traveler,2.99,2024-07-29,51,Very Positive,"Indie,Action,Action Roguelike,Roguelite,Hack and Slash,Atmospheric,Replay Value,Difficult,Story Rich,Anime,Roguelike,Hand-drawn,Magic,Perma Death,Fantasy,Pixel Graphics,Co-op,Singleplayer,Platformer,Multiple Endings","Play as Yamat, a powerful dark mage that summons wild creatures and can fight with her magic fists, a bow and a two-handed greatsword!"
Hogwarts Legacy: Dark Arts Pack,19.99,2023-02-10,782,Mixed,"Action,Adventure,RPG,Magic,Open World","This pack includes:

-Thestral Mount 

-Dark Arts Cosmetic Set

-Dark Arts Battle Arena"
Tainted Grail: The Fall of Avalon,10.49,2023-03-30,2658,Very Positive,"Open World,RPG,Dark Fantasy,Exploration,Survival Horror,Character Customization,First-Person,Action RPG,Choices Matter,Immersive Sim,Singleplayer,FPS,Nonlinear,Narrative,Action,Multiple Endings,Immersive,Story Rich,Lore-Rich,Combat","Step into a dark reimagination of Arthurian legends in this first person, open world RPG. Explore a world stuck in everlasting autumn, witness falling legends and make meaningful choices woven into a complex, branching storyline."
The Witcher 2: Assassins of Kings Enhanced Edition,19.99,2012-04-17,73885,Very Positive,"RPG,Fantasy,Mature,Story Rich,Choices Matter,Singleplayer,Third Person,Adventure,Nudity,Dark Fantasy,Multiple Endings,Open World,Action,Atmospheric,Based On A Novel,Well-Written,Difficult,Medieval,Magic,Dark",A time of untold chaos has come. Mighty forces clash behind the scenes in a struggle for power and influence. The Northern Kingdoms mobilize for war. But armies on the march are not enough to stop a bloody conspiracy...
Street Fighter V,19.99,2016-02-16,27085,Mostly Positive,"Fighting,Action,2D Fighter,Multiplayer,Competitive,Arcade,Local Multiplayer,eSports,Anime,Controller,2.5D,Singleplayer,Great Soundtrack,Classic,2D,Nudity,Female Protagonist,Beat 'em up,Early Access,Funny","Experience the intensity of head-to-head battles with Street Fighter® V! Choose from 16 iconic characters, then battle against friends online or offline with a robust variety of match options."
Remnant II® - The Forgotten Kingdom,6.99,2024-04-23,519,Mixed,"Action,Adventure,Souls-like,RPG,Co-op,Third-Person Shooter,Shooter,Dark,Action-Adventure,Post-apocalyptic,Multiplayer,Combat,Third Person,Online Co-Op,Horror,Atmospheric,PvE,Controller,Singleplayer,Gore","Lydusa, an ancient spirit of stone who has long been imprisoned, will do anything to secure her freedom and exact revenge against the mortals who betrayed her."
Call of Duty®: Modern Warfare® III - Tech Luxe Pro Pack,19.99,2024-01-24,32,Mixed,"Action,Gore,Violent,Capitalism",Get Call of Duty® Points* and in-game content for Call of Duty®: Modern Warfare® III and Call of Duty®: Warzone™.
Legendary Tales,54.73,2024-02-09,2395,Mostly Positive,"VR,Online Co-Op,Swordplay,Action,Medieval,Gore,Fantasy,Magic,Adventure,Action RPG,RPG,Dark Fantasy,Combat,Souls-like,Action-Adventure,Dungeon Crawler,PvE,Indie,Simulation,Hack and Slash","Legendary tales is a VR Action roleplaying game with up to 4 player co-op.

Collect items, enhance your abilities and fight your way through an ever changing dungeon to make your own Legendary Tales."
Borderlands Game of the Year Enhanced,22.99,2023-08-31,13008,Very Positive,"FPS,Co-op,Shooter,First-Person,Loot,Online Co-Op,Action,RPG,Comedy,Dark Humor,Action RPG,Singleplayer,Gore,Looter Shooter,Multiplayer,Sci-fi,Atmospheric,Funny,Character Action Game,Violent","Discover the original co-op shooter-looter, crammed with new enhancements! As one of 4 trigger-happy mercenaries with RPG progression, equip bazillions of guns to take on the desert planet Pandora."
CosmicBreak Universal,0.0,2021-04-07,1292,Mixed,"Free to Play,Action,Massively Multiplayer,RPG,Adventure,Shooter,Character Action Game,3D Fighter,Arena Shooter,Third-Person Shooter,Bullet Hell,Spectacle fighter,3D,Third Person,Sci-fi,Mechs,Cyberpunk,Comic Book,Trading,Robots",CosmicBreak Universal is an MMO action game that lets you play massive battles of up to 30 vs 30 players using customizable robots and humanoids! Create your own original character and aim for victory with your allies!
Tom Clancy’s Rainbow Six® Extraction,9.99,2023-06-15,2278,Mixed,"FPS,Action,Online Co-Op,PvE,Shooter,First-Person,Team-Based,Gun Customization,Realistic,Military,Demons,Sci-fi,Stealth,Co-op,Aliens,Singleplayer,Multiplayer,Violent,Extraction Shooter,Zombies","Tom Clancy's Rainbow Six® Extraction is a tactical, co-op, PvE first-person shooter where you and your squad face an evolving alien threat. Teamwork, tactics, and flawless execution are key to your survival."
Darksiders™,,2010-09-24,7981,Very Positive,"Action,Adventure,Hack and Slash,Third Person,Singleplayer,Post-apocalyptic,Fantasy,Controller,Action RPG,Action-Adventure,Puzzle,Open World,RPG,Spectacle fighter,Gore,Beat 'em up,3D Platformer,Metroidvania,Character Action Game,Platformer",
Eastward,10.99,2021-09-16,13385,Very Positive,"Pixel Graphics,Story Rich,Adventure,Action RPG,Singleplayer,Atmospheric,RPG,Post-apocalyptic,JRPG,Action,2D,Soundtrack,Cute,Female Protagonist,Relaxing,Dark,Mature,Comedy,Indie,Casual","Welcome to the charming world of Eastward - population declining! Journey through a society on the brink of collapse. Discover delightful towns, strange creatures and even stranger people! Wield a trusty frying pan and mystic powers on an adventure into the unknown…"
Kingdom Come: Deliverance – OST Essentials,4.99,2018-02-14,77,Very Positive,"RPG,Action,Adventure,Medieval,Music,Great Soundtrack","Kingdom Come: Deliverance is a story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore majestic castles, deep forests, thriving villages and countless other realistic settings in medieval Bohemia!"
Wizard of Legend,7.29,2018-05-15,16411,Very Positive,"Action Roguelike,Pixel Graphics,Roguelike,Dungeon Crawler,Action,Magic,Local Co-Op,Multiplayer,Adventure,Roguelite,Co-op,Indie,Local Multiplayer,Hack and Slash,Difficult,2D,Singleplayer,RPG,Procedural Generation,Fast-Paced","Wizard of Legend is a no-nonsense, action-packed take on wizardry that emphasizes precise movements and smart comboing of spells in a rogue-like dungeon crawler that features over a hundred unique spells and relics!"
LEGO® The Lord of the Rings™,19.99,2012-11-28,7607,Very Positive,"LEGO,Adventure,Local Co-Op,Action,Fantasy,Open World,Comedy,Family Friendly,Singleplayer,Co-op,Funny,Casual,Controller,Platformer,Split Screen,Local Multiplayer,Multiplayer,Third Person,Puzzle,Dwarf",
Streets of Rogue,8.19,2019-07-12,15681,Overwhelmingly Positive,"Roguelite,Pixel Graphics,Action Roguelike,Multiplayer,RPG,Roguelike,Indie,Action,Co-op,Adventure,Local Co-Op,Funny,Online Co-Op,Stealth,Great Soundtrack,2D,Procedural Generation,Immersive Sim,Violent,Gore","Fight, sneak, and hack your way through randomly generated cities.  It's like Nuclear Throne meets Deus Ex, mixed with the anarchy of GTA.  Rogue-lite meets immersive sim, and goes completely insane."
Hunt: Showdown 1896 - Cold Blooded,4.79,2021-10-26,284,Very Positive,"Action,Gore,Violent,Multiplayer,Atmospheric,First-Person,Survival Horror,Team-Based,Hunting,America,Beautiful,Combat,Lore-Rich,Alternate History,Character Customization","This DLC contains one Hunter and two Weapons:



- The Reptilian (Hunter)

- Avarice (Romero 77 Talon)

- Tooth to Tail (Bomb Lance)"
V Rising - Sinister Evolution Pack,5.49,2023-05-17,196,Very Positive,"Action,Adventure,Massively Multiplayer","Embrace the new world of technology and become the dark alchemist you were meant to be. Light your breathtaking halls with the glow of bio-luminous bubbling lanterns. Fill your halls with beautiful bronze, cured wood, and gleaming glass lined with the remnants of experimental monstrosities."
SpongeBob SquarePants: The Cosmic Shake,19.99,2023-01-31,2018,Very Positive,"Family Friendly,3D Platformer,Platformer,Action,Comedy,Singleplayer,Controller,Action-Adventure,Colorful,Third Person,Funny,Cartoon,Story Rich,Multiplayer,Adventure,Open World,Great Soundtrack,Memes,Collectathon,Mature","Wish-granting Mermaid’s Tears in the hands of SpongeBob and Patrick… What could go wrong? Sure, the very fabric holding the universe together could come undone, opening portals into wild Wishworlds. But that’s nothing our favorite sponge can’t handle- with the right cosmic costume!"
CRISIS CORE –FINAL FANTASY VII– REUNION,49.99,2022-12-13,4822,Very Positive,"Action,RPG,Adventure,JRPG,Action RPG,Action-Adventure,Party-Based RPG,Spectacle fighter,3D,3D Platformer,Cinematic,Third Person,Realistic,Drama,Fantasy,Magic,Sci-fi,Singleplayer,Story Rich,Controller","CRISIS CORE -FINAL FANTASY VII- REUNION is a remaster of CRISIS CORE featuring updated graphics, combat systems and soundtrack.

Follow the tale of SOLDIER operative Zack Fair, as he discovers the secrets of Shinra's dark experiments."
The Ascent,29.99,2021-07-29,17065,Mostly Positive,"Top-Down Shooter,Cyberpunk,RPG,Action,Co-op,Shooter,Open World,Indie,Adventure,Isometric,Twin Stick Shooter,Action RPG,Violent,Dystopian ,Gore,Futuristic,Character Customization,Local Co-Op,Split Screen,PvE","The Ascent is a solo and co-op Action-shooter RPG set in a cyberpunk world. The mega corporation that owns you and everyone, The Ascent Group, has just collapsed. Can you survive without it?"
Command & Conquer™ Red Alert™ 3,19.88,2009-01-09,12792,Very Positive,"Strategy,RTS,Base Building,Multiplayer,Co-op,Singleplayer,Alternate History,Real-Time,War,Sci-fi,Co-op Campaign,Online Co-Op,Action,Classic,Great Soundtrack,Comedy,FMV,Atmospheric,Story Rich,Nudity",The desperate leadership of a doomed Soviet Union travels back in time to change history and restore the glory of Mother Russia.
Trailmakers: Airborne Expansion,7.49,2023-04-27,111,Very Positive,"Adventure,Action,Simulation,Racing,Indie,Building","A whole new campaign focused on the skies. Face the very first Trailmakers enemies in this expansion and enjoy new blocks, mechanics and missions."
Chivalry 2 - King's Edition Content,5.49,2022-10-04,91,Very Positive,"Action,Gore,Violent,Medieval",Chivalry 2 King's Edition includes exclusive in-game content. Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles.
Crysis Remastered,10.49,2021-09-17,10093,Mostly Positive,"Action,FPS,Shooter,Sci-fi,Sandbox,Stealth,Aliens,Singleplayer,Atmospheric,Futuristic,Cinematic,Adventure,Realistic,Tactical,America,First-Person,Violent,Multiplayer,Survival,Open World","The classic first person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around – now with remastered graphics optimized for a new generation of hardware."
Dead by Daylight - Escape Expansion Pack,14.99,2021-06-15,40,Positive,"Action,Gore,Violent",Will you be a leader? A hero? An escape artist? The Escape Expansion Pack gives you access to 12 original characters to discover and explore.
Artifact Seeker: Resurrection,4.99,2024-07-26,304,Very Positive,"Action Roguelike,Bullet Hell,Survival,Roguelite,Indie,Choices Matter,Top-Down,Hack and Slash,Singleplayer,Arcade,Twin Stick Shooter,Controller,Dark Fantasy,PvE,Action,3D,Action RPG,Story Rich,Casual,Procedural Generation","Artifact Seeker: Resurrection is a 3D Roguelike Survivor RPG game. Aurorium continent is just a board of gods game. You can obtain artifacts by slaying enemies. How to use the power of artifacts, to play the game of gods? To end the game ? Or just be a god yourself. Artifact Seeker, Your choice."
Hunt: Showdown 1896 – Reap What You Sow,5.99,2022-08-16,149,Mostly Positive,"Action,Gore,Violent,Beautiful,America,Horror,PvP,First-Person,Lore-Rich,Survival Horror,Combat,Atmospheric,Dark,Survival,FPS,Team-Based,Character Customization,Perma Death,Hunting,Gun Customization","This DLC contains one Hunter, two Weapons, and one Tool:



- Daughter of Decay (Hunter)

- Bountiful (Berthier 1892)

- First Fruits (Hunting Bow)

- The Scion (Knuckle Knife)"
Battlefield 3™,39.99,2020-06-11,10269,Mixed,"Action,Shooter,Singleplayer,FPS,Multiplayer,First-Person,Team-Based,PvP,Tactical,Destruction,Atmospheric,Violent,Military,War,Co-op,Story Rich,Controller,Online Co-Op,World War II","Enjoy total freedom to fight the way you want. Explore 29 massive multiplayer maps and use loads of vehicles, weapons, and gadgets to help you turn up the heat. Every second of battle gets you closer to unlocking tons of extras and moving up in the Ranks. So get in the action."
The Rogue Prince of Persia,14.99,2024-05-27,639,Very Positive,"Roguelite,Action Roguelike,2D Platformer,Fantasy,Action,Parkour,Stylized,Adventure,Replay Value,Platformer,Roguelike,Action-Adventure,Cartoony,2D,Atmospheric,Singleplayer,Procedural Generation,Side Scroller,Combat,Dark Fantasy",Jump into this action-platformer roguelite and flow seamlessly between death-defying platforming and acrobatic combat as you battle through the capital city with one goal – save Persia and your family from a Hun invasion wielding dark magic.
